movie_title,budget,gross,gross_budget_link
Decoys,5000000,,http://www.imdb.com/title/tt0357585/business?ref_=tt_dt_bus
Def-Con 4,1750000,,http://www.imdb.com/title/tt0087130/business?ref_=tt_dt_bus
Defiance,,,http://www.imdb.com/title/tt2189221/business?ref_=tt_dt_bus
Del 1 - M???n som hatar kvinnor,,,http://www.imdb.com/title/tt1639008/business?ref_=tt_dt_bus
Demonic,3000000,,http://www.imdb.com/title/tt1841642/business?ref_=tt_dt_bus
Departure,1100000,,http://www.imdb.com/title/tt2248739/business?ref_=tt_dt_bus
Destiny,,,http://www.imdb.com/title/tt2983582/business?ref_=tt_dt_bus
Detention,10000000,,http://www.imdb.com/title/tt1701990/business?ref_=tt_dt_bus
Diamond Ruff,500000,,http://www.imdb.com/title/tt2111292/business?ref_=tt_dt_bus
Doc Holliday's Revenge,1000000,,http://www.imdb.com/title/tt3359872/business?ref_=tt_dt_bus
Don McKay,,,http://www.imdb.com/title/tt1281374/business?ref_=tt_dt_bus
Donovan's Reef,2686585,,http://www.imdb.com/title/tt0057007/business?ref_=tt_dt_bus
Down for Life,,,http://www.imdb.com/title/tt1056477/business?ref_=tt_dt_bus
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1800000,,http://www.imdb.com/title/tt0057012/business?ref_=tt_dt_bus
Dragon Hunters,11000000,,http://www.imdb.com/title/tt0944834/business?ref_=tt_dt_bus
Dragon Nest: Warriors' Dawn,40000000,,http://www.imdb.com/title/tt2911342/business?ref_=tt_dt_bus
Drive Hard,12000000,,http://www.imdb.com/title/tt2968804/business?ref_=tt_dt_bus
Dry Spell,22000,,http://www.imdb.com/title/tt2375036/business?ref_=tt_dt_bus
"Dude, Where's My Dog",20000,,http://www.imdb.com/title/tt3109200/business?ref_=tt_dt_bus
Dungeons & Dragons: Wrath of the Dragon God,15000000,,http://www.imdb.com/title/tt0406728/business?ref_=tt_dt_bus
Dutch Kills,25000,,http://www.imdb.com/title/tt2759066/business?ref_=tt_dt_bus
Dwegons and Leprechauns,20000000,,http://www.imdb.com/title/tt1134666/business?ref_=tt_dt_bus
Dying of the Light,5000000,,http://www.imdb.com/title/tt1274586/business?ref_=tt_dt_bus
Dysfunctional Friends,1800000,,http://www.imdb.com/title/tt1653002/business?ref_=tt_dt_bus
Echo Dr.,100000,,http://www.imdb.com/title/tt2343473/business?ref_=tt_dt_bus
Ed and His Dead Mother,1800000,,http://www.imdb.com/title/tt0106792/business?ref_=tt_dt_bus
Eden,,,http://www.imdb.com/title/tt3032282/business?ref_=tt_dt_bus
Elmer Gantry,3000000,,http://www.imdb.com/title/tt0053793/business?ref_=tt_dt_bus
Elsa & Fred,10000000,,http://www.imdb.com/title/tt2113659/business?ref_=tt_dt_bus
Elza,900000,,http://www.imdb.com/title/tt1852001/business?ref_=tt_dt_bus
Emma,,,http://www.imdb.com/title/tt1366312/business?ref_=tt_dt_bus
Empire,,,http://www.imdb.com/title/tt3228904/business?ref_=tt_dt_bus
Enter Nowhere,500000,,http://www.imdb.com/title/tt1631707/business?ref_=tt_dt_bus
Enter the Dangerous Mind,800000,,http://www.imdb.com/title/tt2229377/business?ref_=tt_dt_bus
Entourage,,,http://www.imdb.com/title/tt0387199/business?ref_=tt_dt_bus
Eraserhead,20000,,http://www.imdb.com/title/tt0074486/business?ref_=tt_dt_bus
Escape from the Planet of the Apes,2500000,,http://www.imdb.com/title/tt0067065/business?ref_=tt_dt_bus
Eureka,,,http://www.imdb.com/title/tt0796264/business?ref_=tt_dt_bus
Everything Put Together,100000,,http://www.imdb.com/title/tt0228277/business?ref_=tt_dt_bus
Everything You Always Wanted to Know About Sex * But Were Afraid to Ask,2000000,,http://www.imdb.com/title/tt0068555/business?ref_=tt_dt_bus
Evolution,,,http://www.imdb.com/title/tt4291590/business?ref_=tt_dt_bus
Exam,,,http://www.imdb.com/title/tt1258197/business?ref_=tt_dt_bus
Exeter,,,http://www.imdb.com/title/tt1945044/business?ref_=tt_dt_bus
Exorcist II: The Heretic,14000000,,http://www.imdb.com/title/tt0076009/business?ref_=tt_dt_bus
Extreme Movie,,,http://www.imdb.com/title/tt0806147/business?ref_=tt_dt_bus
Eye See You,55000000,,http://www.imdb.com/title/tt0160184/business?ref_=tt_dt_bus
F.I.S.T.,11000000,,http://www.imdb.com/title/tt0077531/business?ref_=tt_dt_bus
Faith Connections,550000,,http://www.imdb.com/title/tt2768766/business?ref_=tt_dt_bus
Faith Like Potatoes,10000000,,http://www.imdb.com/title/tt0850667/business?ref_=tt_dt_bus
Family Plot,4490375,,http://www.imdb.com/title/tt0074512/business?ref_=tt_dt_bus
Far from Men,7700000,,http://www.imdb.com/title/tt2936180/business?ref_=tt_dt_bus
Farce of the Penguins,,,http://www.imdb.com/title/tt0488539/business?ref_=tt_dt_bus
Fargo,,,http://www.imdb.com/title/tt2802850/business?ref_=tt_dt_bus
Fast Times at Ridgemont High,4500000,,http://www.imdb.com/title/tt0083929/business?ref_=tt_dt_bus
"Fat, Sick & Nearly Dead",2500000,,http://www.imdb.com/title/tt1227378/business?ref_=tt_dt_bus
Fear Clinic,1000000,,http://www.imdb.com/title/tt2165765/business?ref_=tt_dt_bus
Feast,3200000,,http://www.imdb.com/title/tt0426459/business?ref_=tt_dt_bus
Fetching Cody,1500000,,http://www.imdb.com/title/tt0475271/business?ref_=tt_dt_bus
Fifty Dead Men Walking,6000000,,http://www.imdb.com/title/tt1097643/business?ref_=tt_dt_bus
Fight to the Finish,150000,,http://www.imdb.com/title/tt3152288/business?ref_=tt_dt_bus
Fight Valley,27000000,,http://www.imdb.com/title/tt4280822/business?ref_=tt_dt_bus
Fired Up,,,http://www.imdb.com/title/tt0118315/business?ref_=tt_dt_bus
Firestorm,,,http://www.imdb.com/title/tt3341072/business?ref_=tt_dt_bus
First Blood,14000000,,http://www.imdb.com/title/tt0083944/business?ref_=tt_dt_bus
Flash Gordon,20000000,,http://www.imdb.com/title/tt0080745/business?ref_=tt_dt_bus
Florence Foster Jenkins,29000000,,http://www.imdb.com/title/tt4136084/business?ref_=tt_dt_bus
Flying By,,,http://www.imdb.com/title/tt1131732/business?ref_=tt_dt_bus
Flywheel,20000,,http://www.imdb.com/title/tt0425027/business?ref_=tt_dt_bus
Food Chains,913000,,http://www.imdb.com/title/tt2141739/business?ref_=tt_dt_bus
Foodfight!,65000000,,http://www.imdb.com/title/tt0249516/business?ref_=tt_dt_bus
Force 10 from Navarone,5000000,,http://www.imdb.com/title/tt0077572/business?ref_=tt_dt_bus
Forget Me Not,1300000,,http://www.imdb.com/title/tt1147684/business?ref_=tt_dt_bus
Forsaken,11000000,,http://www.imdb.com/title/tt2271563/business?ref_=tt_dt_bus
Forty Shades of Blue,1500000,,http://www.imdb.com/title/tt0395543/business?ref_=tt_dt_bus
Four Single Fathers,3000000,,http://www.imdb.com/title/tt1252289/business?ref_=tt_dt_bus
Frat Party,1000000,,http://www.imdb.com/title/tt1414361/business?ref_=tt_dt_bus
Freaky Deaky,6000000,,http://www.imdb.com/title/tt0938305/business?ref_=tt_dt_bus
Freedom,14500000,,http://www.imdb.com/title/tt2584018/business?ref_=tt_dt_bus
Freeway,3000000,,http://www.imdb.com/title/tt0116361/business?ref_=tt_dt_bus
Freeze Frame,2000000,,http://www.imdb.com/title/tt0363095/business?ref_=tt_dt_bus
Frenzy,2000000,,http://www.imdb.com/title/tt0068611/business?ref_=tt_dt_bus
Friday Night Lights,,,http://www.imdb.com/title/tt0758745/business?ref_=tt_dt_bus
From Here to Eternity,1650000,,http://www.imdb.com/title/tt0045793/business?ref_=tt_dt_bus
Fugly,,,http://www.imdb.com/title/tt3683702/business?ref_=tt_dt_bus
Funny Ha Ha,,,http://www.imdb.com/title/tt0327753/business?ref_=tt_dt_bus
Gabriela,,,http://www.imdb.com/title/tt0085575/business?ref_=tt_dt_bus
Galaxina,,,http://www.imdb.com/title/tt0080771/business?ref_=tt_dt_bus
Gandhi,22000000,,http://www.imdb.com/title/tt0083987/business?ref_=tt_dt_bus
Gentleman's Agreement,2000000,,http://www.imdb.com/title/tt0039416/business?ref_=tt_dt_bus
George and the Dragon,32000000,,http://www.imdb.com/title/tt0306892/business?ref_=tt_dt_bus
Get Real,,,http://www.imdb.com/title/tt0212662/business?ref_=tt_dt_bus
Ghost Hunters,,,http://www.imdb.com/title/tt0426697/business?ref_=tt_dt_bus
Girl House,3150000,,http://www.imdb.com/title/tt2577172/business?ref_=tt_dt_bus
Girls Gone Dead,500000,,http://www.imdb.com/title/tt1884318/business?ref_=tt_dt_bus
Give Me Shelter,250000,,http://www.imdb.com/title/tt2559658/business?ref_=tt_dt_bus
Goddess of Love,,,http://www.imdb.com/title/tt3432552/business?ref_=tt_dt_bus
Godzilla Resurgence,,,http://www.imdb.com/title/tt4262980/business?ref_=tt_dt_bus
Gomorrah,,,http://www.imdb.com/title/tt2049116/business?ref_=tt_dt_bus
"Gone, Baby, Gone",,,http://www.imdb.com/title/tt1697237/business?ref_=tt_dt_bus
Good Intentions,10000000,,http://www.imdb.com/title/tt1070781/business?ref_=tt_dt_bus
Grabbers,4000000,,http://www.imdb.com/title/tt1525366/business?ref_=tt_dt_bus
Grace of Monaco,30000000,,http://www.imdb.com/title/tt2095649/business?ref_=tt_dt_bus
Graduation Day,250000,,http://www.imdb.com/title/tt0082467/business?ref_=tt_dt_bus
Grand Theft Parsons,,,http://www.imdb.com/title/tt0338075/business?ref_=tt_dt_bus
Grave Encounters,100000,,http://www.imdb.com/title/tt1703199/business?ref_=tt_dt_bus
Green Street 3: Never Back Down,,,http://www.imdb.com/title/tt2628316/business?ref_=tt_dt_bus
Griff the Invisible,,,http://www.imdb.com/title/tt1509803/business?ref_=tt_dt_bus
Growing Up Smith,2000000,,http://www.imdb.com/title/tt1105355/business?ref_=tt_dt_bus
Gunless,10000000,,http://www.imdb.com/title/tt1376195/business?ref_=tt_dt_bus
H.,,,http://www.imdb.com/title/tt3666210/business?ref_=tt_dt_bus
Hachi: A Dog's Tale,16000000,,http://www.imdb.com/title/tt1028532/business?ref_=tt_dt_bus
Hands of Stone,20000000,,http://www.imdb.com/title/tt1781827/business?ref_=tt_dt_bus
Hang 'Em High,1800000,,http://www.imdb.com/title/tt0061747/business?ref_=tt_dt_bus
Hannibal,,,http://www.imdb.com/title/tt2243973/business?ref_=tt_dt_bus
Hansel & Gretel Get Baked,4500000,,http://www.imdb.com/title/tt2081194/business?ref_=tt_dt_bus
Happy Valley,,,http://www.imdb.com/title/tt3428912/business?ref_=tt_dt_bus
